Time,Female,Male,Wage gap,Country,Country_developementindex
2010,1336.5,1490.5,0.103321033,Croatia,Developing
2010,758,928,0.183189655,Latvia,Developed
2010,1201.5,1544,0.221826425,Czechia,Developing
2010,176,181,0.027624309,Timor-Leste,Developing
2010,2.5,4,0.375,Liberia,Developing
2010,2388,3508,0.319270239,Cyprus,Developing
2010,726,835,0.130538922,Lithuania,Developed
2010,144,217,0.33640553,Lao People's Democratic Republic,Developing
2010,4318,5103,0.15383108,Luxembourg,Developed
2010,81,106,0.235849057,Cambodia,Developing
2010,1126,1110,-0.014414414,Turkey,Developing
2010,2112,2434,0.132292523,Slovenia,Developed
2010,2621,3948,0.336119554,United Kingdom,Developed
2010,446,432,-0.032407407,Mexico,Developing
2010,3088,3967,0.221578019,United States,Developed
2010,193.5,187,-0.034759358,Mongolia,Developing
2010,537,582,0.077319588,Romania,Developing
2010,1444,1638.5,0.118706134,Portugal,Developed
2010,130,158,0.17721519,Egypt,Developing
2010,1672,2702,0.381199112,South Korea,Developed
2010,397.5,483,0.177018634,Bulgaria,Developing
2010,960,1089.5,0.118861863,Hungary,Developing
2010,318,355,0.104225352,Guatemala,Developing
2010,3133,3963.5,0.209537025,Iceland,Developed
2010,1766,2084,0.152591171,Malta,Developed
2010,2192,2717,0.193227825,Spain,Developed
2010,308,319,0.034482759,El Salvador,Developing
2010,3350,4299,0.220749011,Germany,Developed
2010,5621.5,7189,0.218041452,Switzerland,Developed
2010,2810.5,3201,0.121993127,Italy,Developed
2010,3062,3500,0.125142857,France,Developed
2010,955,1168.5,0.18271288,Slovakia,Developed
2010,3701,4397,0.158289743,Finland,Developed
2010,417,630,0.338095238,Kazakhstan,Developing
2010,2386,3130,0.237699681,Singapore,Developed
2010,2522,3740,0.325668449,Japan,Developed
2010,2407,3423,0.296815659,New Zealand,Developed
2010,925,1297,0.286815729,Estonia,Developed
2010,360,483,0.254658385,Vanuatu,Developing
2010,353,408,0.134803922,Peru,Developing
2010,195.5,276.5,0.292947559,Armenia,Developing
2010,316.5,446.5,0.291153415,Azerbaijan,Developing
2010,2970.5,3883,0.234998712,Austria,Developed
2010,147,165,0.109090909,Yemen,Developing
2010,5807.5,6485.5,0.104540899,Norway,Developed
2010,137,149,0.080536913,Viet Nam,Developing
2010,261,218,-0.197247706,Philippines,Developing
2010,1222.5,1577,0.224793912,"Hong Kong, China",Developed
2010,2229,2604,0.144009217,Greece,Developed
2011,498,677,0.264401773,Kazakhstan,Developing
2011,211.5,315.5,0.329635499,Armenia,Developing
2011,268,1669,0.839424805,Sudan,Developing
2011,165.5,203.5,0.186732187,Niger,Developing
2011,328,425,0.228235294,Peru,Developing
2011,1833,2922,0.372689938,South Korea,Developed
2011,2902,3947,0.264758044,Singapore,Developed
2011,2807,4076,0.311334642,Japan,Developed
2011,335.5,325,-0.032307692,El Salvador,Developing
2011,385.5,510,0.244117647,Mauritius,Developing
2011,3742,4577,0.182433909,Finland,Developed
2011,1252.5,1670,0.25,"Hong Kong, China",Developed
2011,2694,4148,0.350530376,United Kingdom,Developed
2011,1274.5,1537.5,0.171056911,Greece,Developed
2011,160,173,0.075144509,Viet Nam,Developing
2011,90,113,0.203539823,Cambodia,Developing
2011,6530.5,7235,0.097373877,Norway,Developed
2011,317,236,-0.343220339,Philippines,Developing
2011,709,771,0.080415045,Costa Rica,Developing
2011,1406.5,1567,0.102425016,Croatia,Developing
2011,1265,1583.5,0.201136722,Czechia,Developing
2011,2190.5,2940,0.254931973,Cyprus,Developing
2011,584,633.5,0.078137332,Romania,Developing
2011,441.5,525.5,0.159847764,Bulgaria,Developing
2011,353,435,0.188505747,Thailand,Developing
2011,4197,5955,0.295214106,Luxembourg,Developed
2011,240,262,0.083969466,"Tanzania, United Republic of",Developing
2011,241.5,278,0.131294964,Moldova,Developing
2011,2381,2952,0.193428184,Spain,Developed
2011,4003,4406.5,0.091569273,Belgium,Developed
2011,652,576.5,-0.130962706,Panama,Developing
2011,236,320,0.2625,Bolivia,Developing
2011,820,941,0.12858661,Latvia,Developed
2011,2952,2556.5,-0.154703696,Qatar,Developed
2011,314,282,-0.113475177,Egypt,Developing
2011,526,541,0.027726433,Angola,Developing
2011,3180.5,4029,0.210598163,United States,Developed
2011,997.5,1133,0.119593998,Hungary,Developing
2011,766,868.5,0.118019574,Argentina,Developing
2011,2423,3928,0.38314664,Austria,Developed
2011,4291,5565,0.228930818,Germany,Developed
2011,265,393,0.325699746,Guatemala,Developing
2011,672,608.5,-0.104354971,Malaysia,Developing
2011,2260.5,2258.5,-0.000885544,Slovenia,Developed
2011,313,498,0.371485944,Azerbaijan,Developing
2011,3501.5,4463,0.215438046,Iceland,Developed
2011,476,441,-0.079365079,Mexico,Developing
2011,808,960,0.158333333,Uruguay,Developing
2011,1001,1123,0.108637578,Slovakia,Developed
2011,243.5,253,0.037549407,Mongolia,Developing
2011,3607,4188,0.138729704,France,Developed
2011,1063.5,1207.5,0.119254658,Portugal,Developed
2013,1031,1140,0.100790514,Slovakia,Developed
2013,1137.5,1265,0.169054441,Greece,Developed
2013,2320,2792,0.24,Spain,Developed
2013,228,300,0.216620432,Ghana,Developing
2013,3247.5,4145.5,0.082375479,United States,Developed
2013,479,522,0.288019122,Bosnia and Herzegovina,Developing
2013,2383,3347,0.335576923,Japan,Developed
2013,2764,4160,-0.349726776,United Kingdom,Developed
2013,370.5,274.5,0.116756757,Philippines,Developing
2013,817,925,0.116971917,South Africa,Developing
2013,3616,4095,0.318497914,France,Developed
2013,1960,2876,0.173366834,Israel,Developed
2013,658,796,0.357288481,Brazil,Developing
2013,630.5,981,0.279342723,Namibia,Developing
2013,307,426,0.265536723,Bolivia,Developing
2013,65,88.5,0.165627783,Ethiopia,Developing
2013,468.5,561.5,0.132743363,Bulgaria,Developing
2013,196,226,-0.048780488,Viet Nam,Developing
2013,129,123,0.244755245,Sri Lanka,Developing
2013,4320,5720,0.122580645,Germany,Developed
2013,272,310,0.407960199,Moldova,Developing
2013,357,603,0.211470649,Azerbaijan,Developing
2013,3801.5,4821,0.1291019,Iceland,Developed
2013,1008.5,1158,-0.024691358,Portugal,Developed
2013,166,162,0.176298066,Indonesia,Developing
2013,3791.5,4603,0.185978578,Finland,Developed
2013,836,1027,-0.007490637,Argentina,Developing
2013,134.5,133.5,0.366459627,Pakistan,Developing
2013,306,483,-0.388724036,Timor-Leste,Developing
2013,468,337,0.261116367,Egypt,Developing
2013,3124,4228,0.139510117,Singapore,Developed
2013,808,939,0.043228639,Latvia,Developed
2013,1416.5,1480.5,0.263304283,Saudi Arabia,Developing
2013,1986.5,2696.5,0.375096475,Cyprus,Developing
2013,2429,3887,0.106287425,Austria,Developed
2013,597,668,0.200103413,Romania,Developing
2013,1547,1934,0.161157025,"Hong Kong, China",Developed
2013,203,242,0.037442396,Kyrgyzstan,Developing
2013,835.5,868,0.277227723,Costa Rica,Developing
2013,4161,5757,0.18792633,Luxembourg,Developed
2013,1190.5,1466,0.114401077,Czechia,Developing
2013,658,743,0.186425738,Panama,Developing
2013,923,1134.5,0.216753022,Uruguay,Developing
2013,453.5,579,0.041627247,Mauritius,Developing
2013,506.5,528.5,0.307901907,Ecuador,Developing
2013,254,367,0.359458609,Armenia,Developing
2013,2035,3177,0.140701287,South Korea,Developed
2013,968,1126.5,0.223623853,Hungary,Developing
2013,338.5,436,0.090199008,Ukraine,Developing
2013,6697.5,7361.5,0.409230769,Norway,Developed
2013,96,162.5,0.241610738,Mali,Developing
2013,113,149,-0.073333333,Cambodia,Developing
2013,322,300,0.056650246,El Salvador,Developing
2013,383,406,-0.376974816,Guatemala,Developing
2013,4401.5,3196.5,0.074539171,Qatar,Developed
2013,4016.5,4340,0.028037383,Belgium,Developed
2014,104,107,-0.018487395,Liberia,Developing
2014,909,892.5,0.112226277,Montenegro,Developing
2014,973,1096,0.19958635,Hungary,Developing
2014,1548,1934,0.177884615,"Hong Kong, China",Developed
2014,684,832,-0.259325044,Belize,Developing
2014,354.5,281.5,0.408805031,Philippines,Developing
2014,94,159,0.174789916,Pakistan,Developing
2014,982,1190,0.106276151,Latvia,Developed
2014,1068,1195,0.104532164,Slovakia,Developed
2014,612.5,684,0.15542522,North Macedonia,Developing
2014,864,1023,0.373417722,Lithuania,Developed
2014,99,158,0.00591716,Rwanda,Developing
2014,672,676,0.082710876,Romania,Developing
2014,5035,5489,0.339438339,Luxembourg,Developed
2014,2164,3276,0.074766355,South Korea,Developed
2014,396,428,0.126888218,Mongolia,Developing
2014,578,662,0.248529412,Namibia,Developing
2014,511,680,0.036135693,Mauritius,Developing
2014,653.5,678,0.089619646,Malaysia,Developing
2014,6450.5,7085.5,0.292044662,Norway,Developed
2014,2029,2866,0.043934426,Israel,Developed
2014,729,762.5,-0.391883798,Serbia,Developing
2014,4647.5,3339,0.140529532,Qatar,Developed
2014,2110,2455,0.214736842,Malta,Developed
2014,186.5,237.5,0.299617103,Kyrgyzstan,Developing
