year,gender,managers,professionals,techniciansandtradesworkers,communityandpersonalserviceworkers,clericalandadministrativeworkers,salesworkers,machineryoperatorsanddrivers,labourers
2004,Females,26.14,29.02,17.9,18.01,19.98,14.79,16.27,16.48
2005,Females,28.1,30,18.86,18.2,20.95,15.39,21.49,16.71
2006,Females,28.6,30.56,19.64,18.84,21.73,16.19,17.37,16.32
2007,Females,36.43,31.93,20.98,19.85,23.27,16.78,18.04,17.54
2008,Females,32.68,32.93,20.3,20.97,23.67,17.44,20.27,17.27
2009,Females,33.3,34.72,20.19,21,23.81,18.02,21.46,17.9
2010,Females,34.41,35.52,22.86,21.97,25.74,19.15,22.74,19.18
2011,Females,35.22,36.48,23.19,23.25,26.85,19.87,22.92,19.82
2012,Females,36.24,37.72,23.95,23.52,28.35,20.82,24.46,20.99
2013,Females,37.26,38.95,23.9,24.5,28.38,21.61,25.02,21.75
2014,Females,42.63,44.13,27.86,25.01,31.52,22.28,29.84,22.64
2015,Females,42.12,44.75,27.5,26.87,31.68,22.99,31.91,23.66
2016,Females,44.35,45.17,26.28,26.54,32.35,23.39,29.73,24.19
2017,Females,46.02,47.04,28.3,27.84,33.54,26.11,30.07,24.9
2004,Males,33.02,34.03,22.15,21.18,23.19,18.51,20.92,17.21
2005,Males,33.13,34.2,21.87,22.52,23.94,19.01,21.04,17.85
2006,Males,35.16,34.34,22.64,22.74,26.15,19.99,21.36,18.18
2007,Males,38.85,38.85,23.97,24.56,28.52,20.82,23.06,19.68
2008,Males,38.34,39.4,24.81,31.35,28.04,22.58,23.7,19.79
2009,Males,41.67,40.12,26.62,25.1,28.25,21.6,25.44,19.96
2010,Males,41.28,41.49,27.95,26.99,30.69,23.22,27.25,21.69
2011,Males,43.87,45.78,29.26,26.41,32.77,23.99,27.16,22.16
2012,Males,44.24,45.24,30.94,29.03,32.9,24.49,28.88,24.18
2013,Males,44.85,45.03,30.82,29.2,33.88,24.55,29.83,24.25
2014,Males,49.55,50.45,31.95,31.96,35.85,25.99,30.48,25.22
2015,Males,49.02,51.05,33.27,30.74,35.72,26.89,30.92,24.73
2016,Males,49.77,49.49,31.97,33.35,37.77,29.62,29.65,25.64
2017,Males,52.51,52.91,34.25,32.63,39.4,29.28,33.12,27.28
